shot,start_frame,end_frame,length_frames,duration_s,scene,slate,take,slate_display,note,kind
1,1,214,214,8.917,140,100,I,140/100/I,SCREEN COMP,normal
2,215,323,109,4.542,,,,Snowfield-528,,stock
3,324,442,119,4.958,101,111,I,101/111/I,SKY REPLACE,normal
4,443,600,158,6.583,143pt2,116,I,143pt2/116/I,,pt2
5,601,966,366,15.25,132,123,I,132/123/I,,normal
6,967,1010,44,1.833,158+159pt1,128,I,158+159pt1/128/I,CLEAN UP,join
7,1011,1095,85,3.542,162,130,I,162/130/I,,normal
8,1096,1195,100,4.167,129,137,I,129/137/I,SKY REPLACE,normal
9,1196,1227,32,1.333,149,142,I,149/142/I,,normal
10,1228,1288,61,2.542,117,148,I,117/148/I,,normal
11,1289,1360,72,3.0,148,153,I,148/153/I,SET EXTENSION,normal
12,1361,1547,187,7.792,125,155,I,125/155/I,,normal
13,1548,1678,131,5.458,160,162,I,160/162/I,DUST BUST,normal
14,1679,1778,100,4.167,133,165,I,133/165/I,,normal
15,1779,1905,127,5.292,131,170,I,131/170/I,,normal
16,1906,1971,66,2.75,168,177,I,168/177/I,STABILIZE,normal
17,1972,2036,65,2.708,139,183,I,139/183/I,,normal
18,2037,2218,182,7.583,121,187,I,121/187/I,WIRE REMOVAL,normal
19,2219,2290,72,3.0,146,192,I,146/192/I,,normal
20,2291,2357,67,2.792,111,195,I,111/195/I,,normal
21,2358,2458,101,4.208,114,203,I,114/203/I,SKY REPLACE,normal
22,2459,2801,343,14.292,130,206,I,130/206/I,,normal
23,2802,2877,76,3.167,122,210,I,122/210/I,DUST BUST,normal
24,2878,3238,361,15.042,163,215,I,163/215/I,,normal
25,3239,3358,120,5.0,134,221,I,134/221/I,,normal
26,3359,3439,81,3.375,144,227,I,144/227/I,MONITOR INSERT,normal
27,3440,3499,60,2.5,102,231,I,102/231/I,,normal
28,3500,3669,170,7.083,179,238,I,179/238/I,WIRE REMOVAL,normal
29,3670,3805,136,5.667,145pt2,243,I,145pt2/243/I,,pt2
30,3806,4135,330,13.75,123,245,I,123/245/I,,normal
31,4136,4398,263,10.958,118+119pt1,251,I,118+119pt1/251/I,DUST BUST,join
32,4399,4548,150,6.25,172,258,I,172/258/I,,normal
33,4549,4634,86,3.583,124,262,I,124/262/I,MONITOR INSERT,normal
34,4635,4764,130,5.417,173,268,I,173/268/I,,normal
35,4765,4828,64,2.667,176,272,I,176/272/I,,normal
36,4829,4960,132,5.5,167,278,I,167/278/I,SKY REPLACE,normal
37,4961,5008,48,2.0,178,283,I,178/283/I,,normal
38,5009,5099,91,3.792,150,286,I,150/286/I,MONITOR INSERT,normal
39,5100,5134,35,1.458,166,290,I,166/290/I,,normal
40,5135,5173,39,1.625,135,296,I,135/296/I,,normal
41,5174,5338,165,6.875,175,301,I,175/301/I,ADD SNOW,normal
42,5339,5402,64,2.667,127,306,I,127/306/I,,normal
43,5403,5630,228,9.5,119,310,I,119/310/I,DUST BUST,normal
44,5631,5728,98,4.083,164,316,I,164/316/I,,normal
45,5729,6082,354,14.75,161,322,I,161/322/I,,normal
46,6083,6190,108,4.5,103,327,I,103/327/I,CLEAN UP,normal
47,6191,6949,759,31.625,155,331,I,155/331/I,,normal
48,6950,7083,134,5.583,177,338,I,177/338/I,SCREEN COMP,normal
49,7084,7116,33,1.375,126,342,I,126/342/I,,normal
50,7117,7140,24,1.0,152,347,I,152/347/I,,normal
51,7141,7175,35,1.458,157,351,I,157/351/I,SCREEN COMP,normal
52,7176,7221,46,1.917,159,355,I,159/355/I,,normal
53,7222,7265,44,1.833,138,363,I,138/363/I,SCREEN COMP,normal
54,7266,7385,120,5.0,170pt2,368,I,170pt2/368/I,,pt2
55,7386,7396,11,0.458,141,373,I,141/373/I,,normal
56,7397,7400,4,0.167,115+116pt1,378,I,115+116pt1/378/I,WIRE REMOVAL,join
57,7401,7404,4,0.167,171,380,I,171/380/I,,normal
58,7405,7454,50,2.083,137,388,I,137/388/I,WIRE REMOVAL,normal
59,7455,7497,43,1.792,153,390,I,153/390/I,,normal
60,7498,7569,72,3.0,104,396,I,104/396/I,,normal
61,7570,7679,110,4.583,174,400,I,174/400/I,ADD SNOW,normal
62,7680,7733,54,2.25,136,408,I,136/408/I,,normal
63,7734,7778,45,1.875,106,411,I,106/411/I,SET EXTENSION,normal
64,7779,7883,105,4.375,116,417,I,116/417/I,,normal
65,7884,7927,44,1.833,109,420,I,109/420/I,,normal
66,7928,8134,207,8.625,154,425,I,154/425/I,CLEAN UP,normal
67,8135,8189,55,2.292,156,431,I,156/431/I,,normal
68,8190,8315,126,5.25,112,435,I,112/435/I,SKY REPLACE,normal
69,8316,8362,47,1.958,105,440,I,105/440/I,,normal
70,8363,8405,43,1.792,128,445,I,128/445/I,,normal
71,8406,8465,60,2.5,165,451,I,165/451/I,STABILIZE,normal
72,8466,8552,87,3.625,108,458,I,108/458/I,,normal
